1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1
1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
1,0,1,0,1,8,31,0,31,0,31,0,31,0,31,0,31,0,0,1
1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1
1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
